Country,Year,Survey,Valid records,Median log welfare,MAD log welfare,Robust scale (1.4826*MAD),outdetect threshold (PPP/day),Records flagged (top),Population share flagged (%),Welfare share flagged (%),mean_ppp_day original,mean_ppp_day outdetect-capped,mean_ppp_day change (%),gini original,gini outdetect-capped,gini change (%),mld original,mld outdetect-capped,mld change (%),atkinson_2 original,atkinson_2 outdetect-capped,atkinson_2 change (%)
MWI,1997,IHS-I,10693,0.6285436803011856,0.41770429070237014,0.6192883813953339,12.018039642345153,327,2.3055231689779916,49.3042940124373,4.615166308607595,2.616769831059984,-43.30063845847694,0.6575557052764734,0.3972817757688525,-39.58203501529762,0.8110758736156535,0.25905906485455144,-68.05982358965935,0.6467177217598545,0.3776993526458736,-41.597494557892354
NAM,2003,NHIES,9679,1.066649288053554,0.5999098495384152,0.8894263429256544,41.88502300428475,462,2.9561950246305186,31.20454535403365,7.186804786471043,6.182397993488839,-13.975707185938491,0.6331875977284478,0.5758051194732379,-9.062476659534834,0.7224889537657357,0.5867600053622792,-18.78630084183489,0.6832651156350837,0.6320149249589496,-7.500776712198731
BLZ,1994,LFS,660,1.599772112745745,0.5306282793838477,0.7867094870144926,52.45211057522914,32,1.5990249257393776,31.039353037957007,10.323675579587414,7.957995792120217,-22.915092296630867,0.605752189612845,0.48962619182319045,-19.1705452792295,0.6811658932975613,0.43319330012707824,-36.40414113660832,0.7003588429060736,0.6114315341754198,-12.697392148524633
COM,2004,EIM,2987,1.5372022005542518,0.5212247274580244,0.7727677809292669,47.25249909034581,77,2.5002471409520224,27.514048280379132,8.68719793956448,7.478427361795361,-13.914389728176491,0.559251601662275,0.48951084636363296,-12.470372027786814,0.5467120006823136,0.4097880313528577,-25.044990627345033,0.589956387361422,0.5239949239448796,-11.180735530562668
BLZ,1993,LFS,704,1.6619549850585178,0.5840071632787855,0.8658490202771274,70.77473210948384,25,0.733131125302931,26.064498751564404,10.569185313610367,8.33325172943826,-21.155212230906816,0.6010495907851836,0.4946253655257977,-17.70639675843688,0.688425294497802,0.45892559473484273,-33.336906937792946,0.7317102503619082,0.6597777869402448,-9.83073059125319
NAM,2009,NHIES,9649,1.2613847839106782,0.6047783190647801,0.8966443358454429,52.00385193167019,353,2.2469287881441846,25.89637620756972,8.061874748867039,7.142630854513938,-11.402358917598976,0.6096517546913307,0.5608611074478073,-8.003035645854306,0.6598652100338878,0.5500979622112405,-16.63479846391812,0.6538840164396795,0.6095082331590442,-6.786491513014214
BFA,1998,EP-II,8324,0.1514308177209559,0.43689807592508667,0.6477450873665335,8.122728174459622,586,2.6889400787827147,23.922082284486283,1.927792198611734,1.6850394559595478,-12.592267093258302,0.4994396989127323,0.4286909753514283,-14.16561873541935,0.42785637973314883,0.3079396524593005,-28.02733182303828,0.5090146189671356,0.43891538749260683,-13.77155564151974
BLZ,1997,LFS,753,1.4610998474706038,0.600437770445815,0.8902090384629653,62.28539467148851,19,0.4831479543722306,23.00430439284936,8.547737420080367,6.882320495491556,-19.483716482403967,0.6022516403585005,0.5062427893358722,-15.941650398075701,0.7208824066360704,0.5090570865807784,-29.384171136004667,0.7955624969439166,0.7461079179015897,-6.2163034623052615
RWA,2005,EICV-II,6900,0.4608347019730192,0.49048856218417697,0.7271983422942607,14.04729329047352,244,2.0629748868075364,21.60177427580861,2.737332963386077,2.4358126083167826,-11.01511431390919,0.5203941409755328,0.46195649225118096,-11.229497821555878,0.46769560254062825,0.36213208194491586,-22.570988485302724,0.5428937059232259,0.48664484256723883,-10.360934883253481
MOZ,2014,IOF,32454,0.4729786271239217,0.5209954757339176,0.7724278923231062,16.2852909400686,1378,1.5823489315652772,21.463101467454436,2.8698507967735174,2.5115819354899394,-12.48388458683526,0.5398899144268315,0.4750129004381529,-12.016711602689345,0.5110325124700428,0.387616639474366,-24.150297678547716,0.6252468235766132,0.5719632434432995,-8.522007329603765
ZAF,2005,IES,19224,1.2652061562697632,0.6579102741612686,0.9754177724714967,66.11921983696485,479,1.9583998917784151,21.35796032524101,9.539003484338087,8.796545634461651,-7.78339006894655,0.6476248862608247,0.6184994843606437,-4.497264159865999,0.7783076418783856,0.7043234054707295,-9.505783115414479,0.7171666788744633,0.6933587970745376,-3.3197138825928563
GNB,2010,ILAP-II,3129,0.45838691310622737,0.4965342127058627,0.736161623757712,14.394868434838884,49,2.4788353257562976,20.693718122773763,2.592875104349621,2.4131379228388634,-6.931964490277364,0.5066423979873433,0.47134686422773353,-6.966557457453759,0.44671901924620416,0.38467997596689807,-13.887710307027234,0.5577324553857512,0.5250882877176368,-5.853015608628387
BLZ,1996,SLC,602,1.462053355094009,0.564892808199023,0.8375100774358715,53.22794750232082,32,1.1955662878368298,20.33752672754464,8.270663588179334,7.224990566433293,-12.643157475786415,0.5637636019996235,0.5013134087756606,-11.077372324580237,0.5931654742478745,0.46678467750263763,-21.306161978743944,0.768650916751932,0.7352181469567687,-4.34953879147627
SYC,2013,HBS,1759,2.771005801227332,0.3977205643136035,0.5896605086513484,93.68961280048077,40,1.4439535744640277,20.142700284953843,24.128766611480405,20.621415983407942,-14.535971459078533,0.46814630234174426,0.3782907027281319,-19.19391420249181,0.4001839051914722,0.2541911544615121,-36.481414878519004,0.5410047161390921,0.46332293369149036,-14.35879949475889
