Country,Year,Survey,Valid records (LIS),LIS ceiling (PPP/day),Welfare share above ceiling (%),mean_ppp_day original (LIS),mean_ppp_day LIS-capped,mean_ppp_day change (%) (LIS),gini original (LIS),gini LIS-capped,gini change (%) (LIS),mld original (LIS),mld LIS-capped,mld change (%) (LIS),atkinson_2 original (LIS),atkinson_2 LIS-capped,atkinson_2 change (%) (LIS),Valid records (outdetect),Median log welfare,MAD log welfare,Robust scale (1.4826*MAD),outdetect threshold (PPP/day),Records flagged (top),Population share flagged (%),Welfare share flagged (%),mean_ppp_day original (outdetect),mean_ppp_day outdetect-capped,mean_ppp_day change (%) (outdetect),gini original (outdetect),gini outdetect-capped,gini change (%) (outdetect),mld original (outdetect),mld outdetect-capped,mld change (%) (outdetect),atkinson_2 original (outdetect),atkinson_2 outdetect-capped,atkinson_2 change (%) (outdetect),Flagged by LIS,Flagged by outdetect,Flagged by both (always problematic),welfare_type
MWI,1997,IHS-I,10693,38.78152104616517,41.59642829089263,4.615166308607595,2.8640089761674603,-37.94353692464145,0.6575557052764734,0.4483008375177918,-31.823139253380685,0.8110758736156535,0.3365910743233724,-58.5006674131607,0.6467177217598545,0.4307468242511952,-33.394924901850096,10693,0.6285436803011856,0.4177042907023701,0.6192883813953339,12.018039642345151,327,2.305523168977992,49.3042940124373,4.615166308607595,2.616769831059984,-43.30063845847694,0.6575557052764734,0.3972817757688525,-39.58203501529762,0.8110758736156535,0.2590590648545514,-68.05982358965935,0.6467177217598545,0.3776993526458736,-41.597494557892354,True,True,True,consumption
BLZ,1993,LFS,704,290.6304489442844,20.09019900555361,10.569185313610369,9.16121706799651,-13.321445351145078,0.6010495907851836,0.5399243768918072,-10.16974553023574,0.688425294497802,0.5476199899741743,-20.453243895743768,0.7317102503619082,0.6904809741273271,-5.63464516373644,704,1.6619549850585178,0.5840071632787855,0.8658490202771274,70.77473210948384,25,0.733131125302931,26.064498751564404,10.569185313610369,8.33325172943826,-21.155212230906816,0.6010495907851836,0.4946253655257977,-17.70639675843688,0.688425294497802,0.4589255947348427,-33.336906937792946,0.7317102503619082,0.6597777869402448,-9.83073059125319,True,True,True,income
BLZ,1994,LFS,660,228.8531034160555,19.958915562946736,10.323675579587414,8.909722199847138,-13.696220583839624,0.605752189612845,0.5434170111543823,-10.290541169698953,0.6811658932975613,0.5365361029381723,-21.23268234397765,0.7003588429060736,0.6528134724895656,-6.788715655994714,660,1.599772112745745,0.5306282793838477,0.7867094870144926,52.45211057522914,32,1.5990249257393776,31.039353037957007,10.323675579587414,7.957995792120217,-22.915092296630867,0.605752189612845,0.4896261918231904,-19.1705452792295,0.6811658932975613,0.4331933001270782,-36.40414113660832,0.7003588429060736,0.6114315341754198,-12.697392148524631,True,True,True,income
BLZ,1997,LFS,753,295.79204689622014,18.243989219591548,8.547737420080367,7.324551061647755,-14.310060058221952,0.6022516403585005,0.535916569385902,-11.014510634310836,0.7208824066360704,0.5677713079941007,-21.239400106384643,0.7955624969439166,0.7614227117652621,-4.291276337157601,753,1.4610998474706038,0.600437770445815,0.8902090384629653,62.28539467148851,19,0.4831479543722306,23.00430439284936,8.547737420080367,6.882320495491556,-19.483716482403967,0.6022516403585005,0.5062427893358722,-15.9416503980757,0.7208824066360704,0.5090570865807784,-29.384171136004667,0.7955624969439166,0.7461079179015897,-6.2163034623052615,True,True,True,income
SYC,2013,HBS,1759,263.64054982046747,12.063038524619005,24.128766611480405,21.802659190494776,-9.640390901202856,0.4681463023417442,0.4115393722772325,-12.09171786284644,0.4001839051914722,0.3018661699214968,-24.568138297049742,0.5410047161390921,0.4920667153645182,-9.04576232233657,1759,2.771005801227332,0.3977205643136035,0.5896605086513484,93.68961280048076,40,1.4439535744640275,20.142700284953843,24.128766611480405,20.621415983407942,-14.535971459078532,0.4681463023417442,0.3782907027281319,-19.19391420249181,0.4001839051914722,0.2541911544615121,-36.48141487851901,0.5410047161390921,0.4633229336914903,-14.35879949475889,True,True,True,income
MWI,2016,IHS-IV,12445,30.01232326683246,10.966538935266748,2.5000184059762,2.258663906071655,-9.654108918862192,0.4469430771248321,0.3878638514894578,-13.218512302602116,0.3484811252481691,0.2478717170724628,-28.870834282361145,0.4168111206485602,0.3545057232152272,-14.948113029322595,12445,0.5005696343551735,0.40465449559737,0.5999407551726608,9.978092101698616,308,1.4403143031756962,18.590737461306432,2.5000184059762,2.178962435361636,-12.842144275701797,0.4469430771248321,0.3657114234226708,-18.17494393798904,0.3484811252481691,0.2174440087911625,-37.60235690345901,0.4168111206485602,0.3312926137044765,-20.51732852305296,True,True,True,consumption
ETH,1995,HICES,11524,27.006841208176656,10.890169273109729,2.37903672729592,2.2295593849519086,-6.283103603613183,0.4456451322100754,0.408562267488176,-8.32116454139089,0.3411386337653015,0.2786002688625142,-18.33224346727401,0.4174214555497086,0.3784111405992575,-9.34554619361333,11524,0.4607365714865392,0.3968556908778158,0.5883782472954497,9.261549000802027,398,1.7775353480806406,19.43388421563252,2.37903672729592,2.081324791534923,-12.513969723341956,0.4456451322100754,0.3671396271970832,-17.616147768441227,0.3411386337653015,0.2199232277232181,-35.532594096474526,0.4174214555497086,0.3348347164639449,-19.784977026876597,True,True,True,consumption
MOZ,2014,IOF,32454,63.790929504179296,8.03678531002836,2.8698507967735174,2.759777995823066,-3.8354886279873046,0.5398899144268315,0.5215684685357171,-3.39355216712377,0.5110325124700428,0.472890856818432,-7.463645603927526,0.6252468235766132,0.6103042235658309,-2.389872198839138,32454,0.4729786271239217,0.5209954757339176,0.7724278923231062,16.2852909400686,1378,1.5823489315652772,21.46310146745444,2.8698507967735174,2.51158193548994,-12.48388458683526,0.5398899144268315,0.4750129004381529,-12.016711602689345,0.5110325124700428,0.387616639474366,-24.15029767854772,0.6252468235766132,0.5719632434432995,-8.522007329603765,True,True,True,consumption
BFA,1998,EP-II,8324,26.01470007537948,7.9044190822298575,1.927792198611734,1.849702094885084,-4.0507531767628,0.4994396989127323,0.4783443436501555,-4.223804256750285,0.4278563797331488,0.3879523880579769,-9.32649215142234,0.5090146189671356,0.4883035236363605,-4.06886061009425,8324,0.1514308177209559,0.4368980759250866,0.6477450873665335,8.122728174459622,586,2.6889400787827147,23.922082284486283,1.927792198611734,1.6850394559595478,-12.592267093258302,0.4994396989127323,0.4286909753514283,-14.16561873541935,0.4278563797331488,0.3079396524593005,-28.02733182303828,0.5090146189671356,0.4389153874926068,-13.77155564151974,True,True,True,consumption
COM,2004,EIM,2987,178.87545289874743,7.614487639622767,8.68719793956448,8.36560480622517,-3.701920176984408,0.559251601662275,0.5423277325102456,-3.0261637341272407,0.5467120006823136,0.5097512277627507,-6.760556357540115,0.589956387361422,0.5741969811487282,-2.6712832592893254,2987,1.5372022005542518,0.5212247274580244,0.7727677809292669,47.25249909034581,77,2.5002471409520224,27.51404828037913,8.68719793956448,7.478427361795361,-13.914389728176491,0.559251601662275,0.4895108463636329,-12.470372027786814,0.5467120006823136,0.4097880313528577,-25.044990627345037,0.589956387361422,0.5239949239448796,-11.180735530562668,True,True,True,consumption
MOZ,2002,IAF,8697,26.419828252900725,6.765720640630797,1.7691997865673943,1.7165417703162416,-2.9763747797709077,0.4703906960369141,0.454174429033249,-3.447403858173359,0.380030994576405,0.3509720694348985,-7.646461882377897,0.4788475555343459,0.4628753859803561,-3.3355437172831293,8697,0.1386808867086054,0.4430903761097144,0.6569257916202625,8.243774105468427,380,1.7967837053148907,17.963033180005212,1.7691997865673943,1.599520631715737,-9.590728878668308,0.4703906960369141,0.414886793044767,-11.799532486457032,0.380030994576405,0.2894165587524612,-23.843959339407466,0.4788475555343459,0.423987778387725,-11.456626751577092,True,True,True,consumption
RWA,2005,EICV-II,6900,52.38698482178134,6.136862254139729,2.737332963386077,2.6694087174997287,-2.481402401347843,0.5203941409755328,0.5082099881325531,-2.341331672208924,0.4676956025406282,0.4433728924059793,-5.200542832244404,0.5428937059232259,0.5312687535965325,-2.141294363861612,6900,0.4608347019730192,0.4904885621841769,0.7271983422942607,14.04729329047352,244,2.0629748868075364,21.60177427580861,2.737332963386077,2.4358126083167826,-11.01511431390919,0.5203941409755328,0.4619564922511809,-11.229497821555878,0.4676956025406282,0.3621320819449158,-22.570988485302724,0.5428937059232259,0.4866448425672388,-10.36093488325348,True,True,True,consumption
CAF,2008,ECASEB,6894,113.49041424331516,5.465743904644766,3.038541222947998,2.960684796802632,-2.5622961952061263,0.5623660815101582,0.5508655623436036,-2.0450236144526124,0.5706369586184659,0.5450615169369293,-4.4819111863093735,0.6318983263875644,0.6222193477887845,-1.5317303741113952,6894,0.5158340604900141,0.601614763109038,0.8919540477854597,24.32966052711824,86,1.003498102042962,17.869802942961673,3.038541222947998,2.7397075756896605,-9.834773509125172,0.5623660815101582,0.5149665716988794,-8.428586177173747,0.5706369586184659,0.4726790855603335,-17.166408796109543,0.6318983263875644,0.5918132065295382,-6.343602789262759,True,True,True,consumption
RWA,2000,EICV-I,6419,34.70038058479139,5.361251299413783,2.112521083311508,2.0716218806658064,-1.9360376078040864,0.4854727268629061,0.4753306486742438,-2.089113894038863,0.4020552875450354,0.3832641911914333,-4.673759290256118,0.492733087952667,0.4827271404240779,-2.030703391599764,6419,0.2739517417526267,0.4619940094970175,0.6849523184802782,10.265704682793928,229,2.1822732632574984,19.705960942843944,2.112521083311508,1.9202542323023828,-9.101298563502835,0.4854727268629061,0.4347645509588906,-10.445113205779544,0.4020552875450354,0.3170415729919172,-21.144782119945503,0.492733087952667,0.442355103495002,-10.224193521687008,True,True,True,consumption
