"approach","mean_ppp_day","median_ppp_day","headcount_2_41","fgt1_2_41","fgt2_2_41","watts_2_41","p90_p10","s80_s20","gini","ge0_mld","ge1_theil","ge2","atkinson_0_5","atkinson_1","atkinson_2"
"Unadjusted survey",5.77964796334671,2.3479405063462,0.519789123506556,0.174076528664388,0.0782389076043561,0.240167866588987,5.35178991779676,18.2318261890422,0.657555707569683,0.811075880230553,3.19893395106319,1469.23884847839,0.474728686189373,0.55562029040255,0.64671772420863
"Trim highest weighted 0.5%",3.36292842327508,2.33886681401051,0.522395234455185,0.174949310965393,0.0786311806714432,0.241372016653544,5.19013547329105,7.43490097660732,0.416069855964151,0.28689947766086,0.339293980746716,0.577334881082291,0.144267597133627,0.249412824176407,0.395778681501821
"Winsorize highest weighted 0.5%",3.56029907686488,2.3479405063462,0.519789123506556,0.174076528664388,0.0782389076043561,0.240167866588987,5.35178991779676,8.26894110109136,0.444252923227419,0.329795881099063,0.415032075813512,0.819004561671746,0.168458818831563,0.280929505667921,0.426549224316097
"LIS top-code: log-IQR k = 3",3.58664509099034,2.3479405063462,0.519789123506556,0.174076528664388,0.0782389076043561,0.240167866588987,5.35178991779676,8.38721106434781,0.448300839161496,0.336591077066811,0.430695968438679,0.893248659572238,0.17269496430562,0.285799166703109,0.430746826086743
"Pareto PDC: shrink model-flagged values",3.76353351946964,2.3479405063462,0.519789123506556,0.174076528664388,0.0782389076043561,0.240167866588987,5.35178991779676,9.18128138698247,0.474132934368486,0.382481063341213,0.558109276549363,1.93163305834964,0.202589098932882,0.317833191185764,0.457466145533956
"Pareto PDC: multiple imputation of top 0.5%",3.71120494075522,2.3479405063462,0.519789123506556,0.174076528664388,0.0782389076043561,0.240167866588987,5.35178991779676,8.94637302276669,0.466709734495099,0.369130658954706,0.526918495821891,3.58436871049383,0.194171958207549,0.308629533151796,0.449768315375274
