Country,Year,Survey,Valid records,LIS ceiling (PPP/day),LIS population share above ceiling (%),LIS welfare share above ceiling (%)
AUT,2012,EU-SILC,6198,651.094132903619,0.035290628621761314,0.6307681775218198
AUT,2013,EU-SILC,5947,592.0045212825654,0.0055803739819144825,0.06032386685556933
AUT,2014,EU-SILC,5880,610.0904227303048,0.08299420466395697,1.2396070321047783
AUT,2015,EU-SILC,6014,601.7218450885522,0.044862788416988424,0.7962822482178971
AUT,2016,EU-SILC,5967,613.1132991112909,0.07202037744019035,1.2321141450616404
AUT,2017,EU-SILC,6041,650.6457996207619,0.03016554228087727,0.42494472263484157
AUT,2018,EU-SILC,6075,639.2944374286085,0.015327135594578588,0.21126817346852664
AUT,2019,EU-SILC,5944,701.8811918239994,0.03130167651460593,0.4659592642825575
AUT,2020,EU-SILC,5979,650.177088273473,0.017040456648906407,0.28085253719468906
AUT,2021,EU-SILC,5970,619.7843189884119,0.010516159456058192,0.2247538639471393
AUT,2022,EU-SILC,5893,631.5999331408622,0.08278863194450187,1.3070221221628018
AZE,1995,SLC,1424,71.54702848273132,0.0,0.0
AZE,2001,HBS,7818,75.64226096654961,0.04293942622945728,0.7214578897428825
AZE,2002,HBS,8156,39.60704173892943,0.34193876873757045,2.376272155881936
AZE,2003,HBS,8520,51.64376379094999,0.20912935843346395,1.609784745399435
AZE,2004,HBS,8423,43.95744929203401,0.476605245185291,3.517249105258873
AZE,2005,HBS,8553,49.54792663846952,0.4360816981411519,3.2265900090126323
BDI,1998,EP,6653,31.05712891838893,0.02952368237698521,0.7500918726786344
BDI,2006,QUIBB,7024,19.44339270652188,0.015801796978860527,0.18945231852865738
BDI,2013,ECVMB,6680,30.302407577466216,0.0548696020633818,0.9972876517397536
BDI,2020,EICVMB,8357,32.40907345320692,0.0298824160615143,0.5413941478482373
BEL,2004,EU-SILC,5119,377.48771123067183,0.05308936373183048,0.5969407028368368
BEL,2005,EU-SILC,4828,407.7728409378809,0.12352494530211074,4.567815770490276
BEL,2006,EU-SILC,5532,403.97646274649907,0.08013481931262342,2.777395240620487
BEL,2007,EU-SILC,6046,402.97328794554176,0.0717017680506871,0.6757132858563372
BEL,2008,EU-SILC,6144,424.5918667222762,0.1642924810897341,2.4103814707385864
BEL,2009,EU-SILC,5991,430.10133720038846,0.09595450796661528,1.4077812291767364
BEL,2010,EU-SILC,5912,437.0192927753498,0.0693452341265786,1.0589189835028414
BEL,2011,EU-SILC,5659,408.85655015046706,0.05116712569504125,1.252525616860555
BEL,2012,EU-SILC,5446,422.2679074333034,0.10888902249713726,1.26245820207154
BEL,2013,EU-SILC,5811,420.2443865521231,0.068347818150805,0.8435522074656444
BEL,2014,EU-SILC,5689,429.97630349384565,0.04125448139770745,0.41153076755421397
BEL,2015,EU-SILC,5810,450.70869081336264,0.0509737687408799,0.9009790667185799
BEL,2016,EU-SILC,5696,428.40062039883355,0.0391097351967094,0.7797705480017875
BEL,2017,EU-SILC,5725,421.9355380151721,0.08474217934828615,1.0956241085076324
BEL,2018,EU-SILC,5610,409.33597385317216,0.07263162875001145,0.7869368481037475
BEL,2019,EU-SILC,6689,386.1049907204102,0.1140202440429656,1.3907587143151512
BEL,2020,EU-SILC,6980,396.4447426270711,0.18784138130685019,2.011373605554752
BEL,2021,EU-SILC,7445,390.2803684510525,0.15293948098299956,1.5653127624225498
BEL,2022,EU-SILC,6647,400.7741174017946,0.16566391546239226,1.5555898664295325
BEN,2003,QUIBB,5349,35.5467198332756,0.10291281559905381,1.6597697116796855
BEN,2011,EMICOV,17966,55.565725215354796,0.00276223951423562,0.07992399325860328
BEN,2015,EMICOV,19871,64.72521030106556,0.01612244076037066,0.39114708365277173
BEN,2018,EHCVM,8012,68.24345994370904,0.019970130866153072,0.44764563389461415
BEN,2021,EHCVM,8028,62.3470119668115,0.019924084086020647,0.3450077347412505
BFA,1994,EP-I,7773,32.41328775543659,0.0753741001095286,2.2578045980578545
BFA,1998,EP-II,8324,26.01470007537948,0.28557189001176925,7.9044190822298575
BFA,2003,ECVM,8231,60.53514358825,0.05040911078517722,1.647378244809737
BFA,2009,ECVM,8404,41.81780647046473,0.0484682180216651,1.1555218707621748
BFA,2014,EMC,10408,32.763121911932586,0.09296167871802714,1.2030038249889703
BFA,2018,EHCVM,7009,67.29033465725102,0.02537531756201296,0.7892763624444971
BFA,2021,EHCVM,7174,53.96043826120002,0.01620235490651706,0.25957006686250456
BGD,1991,HHES,5722,19.990955536014642,0.060564719555768774,0.6296448200877933
BGD,1995,HHES,7418,25.600140746468487,0.22804724246436212,2.3205936540165633
BGD,2000,HIES,7439,30.944115150266274,0.07005127523547858,1.1092749240277102
BGD,2005,HIES,10053,33.71126670537373,0.08000016540139607,1.150695971734315
BGD,2010,HIES,12224,34.92302495258105,0.1236362145100918,1.5775435865054246
BGD,2016,HIES,45694,40.89856420932863,0.11391406220317817,1.7259894068788102
BGD,2022,HIES,14265,61.05097369587995,0.036284877096047066,0.451918321076299
BGR,1995,IHS,2459,126.84700366306453,0.18978605935127674,2.3278231424591156
BGR,2001,IHS,2633,117.95884668086818,0.01340662287169862,0.2822190929283112
BGR,2003,MTHS,3023,74.40479518804456,0.12242899126592194,1.1413234366625609
BGR,2007,EU-SILC,3385,151.46604711463337,0.050259838469202456,1.018229893901859
BGR,2007,MTHS,4300,115.80898404063986,0.0,0.0
BGR,2008,EU-SILC,4180,203.3044490568681,0.0,0.0
BGR,2009,EU-SILC,5364,192.46602679562486,0.0,0.0
BGR,2010,EU-SILC,5988,222.0049988691367,0.004703047654629094,0.1640782632023135
BGR,2011,EU-SILC,6261,236.7120934090157,0.02908130065548918,0.6385093243754969
BGR,2012,EU-SILC,5568,184.91980799668232,0.05363815453846297,0.7451258055613595
BGR,2013,EU-SILC,4797,209.1280067968553,0.01854929106676213,0.5471056899282157
BGR,2014,EU-SILC,4892,241.847871763577,0.036068756448206125,0.5680028797784885
BGR,2015,EU-SILC,4872,270.685646141578,0.03926678268532898,0.7282352688284284
BGR,2016,EU-SILC,6983,283.87077207312655,0.005008912484784898,0.10244390717149539
BGR,2017,EU-SILC,7173,371.80881669633794,0.07522026086388182,1.3594979225875323
BGR,2018,EU-SILC,7124,307.5700945141608,0.1768574927421462,3.9217973567213096
BGR,2019,EU-SILC,7235,384.25762418839463,0.11043449307594931,3.22852896801552
BGR,2020,EU-SILC,6716,410.9211639284065,0.017944439393701696,0.43195130554299527
BGR,2021,EU-SILC,7481,394.02845327802066,0.08701197885848021,3.0197309166421364
BGR,2022,EU-SILC,7186,474.0809760672461,0.04349733235489795,0.8802988180434251
BIH,2001,LSMS,5401,106.50967673349592,0.2220251067253387,3.5323121699118
BIH,2004,LSMS,7412,269.1009389211103,0.0,0.0
BIH,2007,HBS,7467,301.85907440645195,0.0,0.0
BIH,2011,HBS,7395,277.4104979224183,0.0,0.0
BLR,1998,HHS,4933,44.74621680915973,0.06443956288695424,0.940675614821776
BLR,1999,HHS,4828,53.76692987451764,0.0,0.0
BLR,2000,HHS,4651,53.777478337227926,0.0,0.0
BLR,2001,HHS,4751,56.044410451780145,0.04836707940851269,0.5112778961648771
BLR,2002,HHS,4880,61.33441747311283,0.05388148321568535,0.784037524592176
BLR,2003,HHS,4780,58.93233445348003,0.008661373179746029,0.12296941118431791
BLR,2004,HHS,4819,56.41792396297964,0.0,0.0
BLR,2005,HHS,4858,80.78089363864018,0.008668060934590775,0.08357700722922941
BLR,2006,HHS,5222,93.89441122095737,0.020734001010104315,0.388212602750478
BLR,2007,HHS,5333,106.81109264267509,0.052456903406190886,0.8355591553684202
BLR,2008,HHS,5323,107.63113456984965,0.02332847938886945,0.3915259793581349
BLR,2009,HHS,5023,94.4615176386565,0.02098558167955075,0.22992728633158396
BLR,2010,HHS,5518,130.59099953704165,0.0,0.0
BLR,2011,HHS,5426,118.59619502758186,0.0,0.0
BLR,2012,HHS,5318,119.01688586100424,0.035245824596781,0.28768842012567397
BLR,2013,HHS,5328,131.70958050867404,0.1150371516051306,1.3198561495703793
BLR,2014,HHS,5539,136.2633531298737,0.10134016084696502,0.8393277081358484
BLR,2015,HHS,5953,120.58162343771819,0.0,0.0
BLR,2016,HHS,5968,101.70721578910033,0.03129931701684199,0.22120622899340128
BLR,2017,HHS,5936,113.97978428333208,0.020820441019580135,0.18479854541341395
BLR,2018,HHS,5932,112.59928142843779,0.04185445393627583,0.3349839217208021
BLR,2019,HHS,5925,121.50778987330625,0.015624504497336503,0.1197576541618488
BLR,2020,HHS,5832,125.24211405485175,0.04384136755057784,0.3133858387670326
BLZ,1993,LFS,704,290.6304489442852,0.24615525309027725,20.090199005553615
BLZ,1994,LFS,660,228.8531034160555,0.2825132377631409,19.958915562946736
BLZ,1995,HBS,785,1209.71478587921,0.0,0.0
BLZ,1996,SLC,602,243.91696642863147,0.051692180450017354,3.9744072082945108
BLZ,1997,LFS,753,295.79204689622014,0.11368187161699544,18.243989219591548
BLZ,1998,LFS,711,344.88116525118227,0.012477753478994687,0.5545452882025657
BLZ,1999,LFS,730,280.59995000000094,0.021975154341123068,0.9040401533629313
BOL,1992,EIH,3554,255.4569129193294,0.008654649635907842,0.2873230256240993
BOL,1997,ENE,3799,1002.7036269410825,0.003402928329363737,0.30173548243351433
BOL,1999,ECH,2103,1762.4848302466596,0.0,0.0
BOL,2000,ECH,3676,1737.933936070418,0.0,0.0
BOL,2001,EH,4956,957.6442458578987,0.0,0.0
BOL,2002,EH,4747,1076.1861443337307,0.0,0.0
BOL,2004,ECH,8519,567.8631264379732,0.016796011670816152,1.0159166881632564
BOL,2005,EH,3686,1233.2758712325917,0.0,0.0
BOL,2006,EH,3571,1216.1973949100957,0.0,0.0
BOL,2007,EH,3817,815.4727246933994,0.0,0.0
BOL,2008,EH,3617,703.6676089041414,0.005626836634645277,0.47157886712378566
BOL,2009,EH,3625,601.4406669096157,0.03390113145517268,1.4625341029180212
BOL,2011,EH,7647,630.5289254949803,0.0036053882919913844,0.14526256321844527
BOL,2012,EH,7084,751.2367844601723,0.0,0.0
BOL,2013,EH,8104,797.692154861773,0.004588732686477844,0.19768032208603942
BOL,2014,EH,8360,709.0289168348623,0.030392116532916937,1.900090421721295
BOL,2015,EH,8240,706.9192306099537,0.020845469579966573,0.9321626970135105
BOL,2016,EH,9019,743.1998662713916,0.0,0.0
BOL,2017,EH,8658,747.1090682048215,0.0,0.0
BOL,2018,EH,9341,567.3821644176282,0.0,0.0
BOL,2019,EH,9740,470.8542666571258,0.0,0.0
BOL,2020,EH,9985,503.82292362164185,0.015551379279171353,0.5134860420987293
BOL,2021,EH,10735,465.99948456509435,0.0013979577185161604,0.04592127740040634
BRA,1981,PNAD,29306,554.9368894726787,0.0011024611741732185,0.07745119366203322
BRA,1982,PNAD,32112,611.1731989830384,0.0021485772984544214,0.29354768976136997
BRA,1983,PNAD,40660,526.561609991035,0.0031152385683373886,0.27877467898154434
BRA,1984,PNAD,46372,466.1928151084682,0.0011247568570706753,0.0936022788102379
BRA,1985,PNAD,46061,573.2389720585426,0.0,0.0
BRA,1986,PNAD,19327,881.205461187095,0.0070843224859695976,0.9427366722996845
BRA,1987,PNAD,26229,833.5486842175733,0.004785029503696953,0.5099083878171434
BRA,1988,PNAD,30901,942.1981018438483,0.0003057251225570073,0.03689351248170841
BRA,1989,PNAD,21594,1154.8020046034221,0.005444334325185642,1.4660037871597584
BRA,1990,PNAD,29845,833.3030978829452,0.003577741109985696,0.523198583075291
BRA,1992,PNAD,25983,508.61015102726134,0.001097557212582122,0.12502254060487963
BRA,1993,PNAD,26146,618.7421930654692,0.00996686063041677,0.9942282362737952
BRA,1995,PNAD,12306,959.4814019500764,0.0007345026501328385,0.05966950124545489
BRA,1996,PNAD,14425,1118.172564233058,0.0006628855513140312,0.07268945577365256
BRA,1997,PNAD,12658,1036.6204200964469,0.0022451118730440678,0.26099147366387954
BRA,1998,PNAD,12472,943.9958577862691,0.002766132155576317,0.29789203689811955
BRA,1999,PNAD,14464,831.7480468750006,0.0021249786289249764,0.2479919072233771
BRA,2001,PNAD,88748,1075.7668803190645,0.0011685600375909563,0.09598874199925438
BRA,2002,PNAD,90816,1000.1688227208832,0.001539473387354649,0.2788792264161195
BRA,2003,PNAD,92629,953.5669673724051,0.0014688185871947405,0.13654251216219424
BRA,2004,PNAD,96514,847.1937091175562,0.003327925032782429,0.3230564801179154
BRA,2005,PNAD,98891,828.5104632963679,0.003950820159933347,0.355959654583803
BRA,2006,PNAD,100293,805.1252598114747,0.00436062901829098,0.33407770162578043
BRA,2007,PNAD,99292,833.5180246872624,0.00267063360846921,0.20323726226409328
BRA,2008,PNAD,99951,809.2436402089206,0.00506470772512132,0.3340143232705896
BRA,2009,PNAD,102201,791.2911048830671,0.004924995899358504,0.44827242156022035
BRA,2011,PNAD,92784,775.8950194615626,0.0076821937593797756,0.4715345525923407
BRA,2012,PNADC-E1,61138,805.5143909649216,0.007655560639618157,0.3617600579225126
BRA,2013,PNADC-E1,62855,792.1982556972935,0.0026280516123010577,0.11988749069679502
BRA,2014,PNADC-E1,63971,812.9485600220298,0.004190731707725729,0.2011810029649601
BRA,2015,PNADC-E1,62036,778.6254761253032,0.000910913793831912,0.051220718924523324
BRA,2016,PNADC-E1,135445,870.2781228853771,0.0053256768722808835,0.3356534561334967
BRA,2017,PNADC-E1,136300,846.8781678881785,0.00809057062230912,0.5125900496720749
BRA,2018,PNADC-E1,136239,962.4466300749708,0.004348235201949713,0.2722169813576326
BRA,2019,PNADC-E1,134480,984.2439795238297,0.007313336060535243,0.4909883926224303
BRA,2020,PNADC-E5,40129,452.5820063349024,0.03273704268183298,1.1543096028777284
BRA,2021,PNADC-E5,37869,792.89243928912,0.002423376653493482,0.1831983845605156
BRA,2022,PNADC-E1,116520,770.3179364004817,0.011644042421172037,0.723219883578466
BTN,2003,BLSS,3989,119.56034674806283,0.0,0.0
BTN,2007,BLSS,9794,131.4175667510905,0.006126985046282395,0.14289045563766453
BTN,2012,BLSS,8964,150.87464149789034,0.03865524816965156,0.7669289203157056
BTN,2017,BLSS,11393,222.30879223165638,0.007364860367821017,0.27018852340919003
BTN,2022,BLSS,13338,145.9809698683126,0.01870058546532088,0.2252682087218184
BWA,2002,HIES,6043,993.3892422938941,0.0,0.0
BWA,2009,CWIS,7730,574.2537470173609,0.023247354969002477,2.478933055996405
BWA,2015,BMTHS,7055,458.37118798187413,0.018804781424542664,2.073444133383954
CAF,2008,ECASEB,6894,113.49041424331517,0.07773560095471116,5.465743904644766
CAF,2021,EHCVM,6410,51.4009342075984,0.009732792530650772,0.44479511757146006
CHE,2007,EU-SILC,6582,1018.1197985685816,0.019686219640194045,0.581313879188011
CHE,2008,EU-SILC,6755,933.5073511146177,0.06193086601651408,1.1016698367097049
CHE,2009,EU-SILC,7337,968.3226321132302,0.05145434117922524,0.9791147067456878
CHE,2010,EU-SILC,7488,908.3005487531083,0.05430149023831721,1.0333561855133448
CHE,2011,EU-SILC,7475,870.6410613898304,0.07276395427699886,1.171851761887011
CHE,2012,EU-SILC,7509,849.7248147695041,0.02324050451001245,0.2907789856314588
CHE,2013,EU-SILC,7320,837.3789145362932,0.04694450479515116,0.839877483748545
CHE,2014,EU-SILC,6751,893.2280464076734,0.05853076532325039,0.7444703873271681
CHE,2015,EU-SILC,7436,878.6410694872258,0.04267968526444613,0.74056380372354
CHE,2016,EU-SILC,7746,896.0563913049962,0.08617718374395086,1.263887708181925
CHE,2017,EU-SILC,8098,923.7532642629694,0.09518290893912357,1.744281648911498
CHE,2018,EU-SILC,6670,873.0339379000675,0.013158461622397487,0.2287498307845762
CHE,2019,EU-SILC,7319,919.2442521051331,0.09283464924225857,1.637716646946951
CHE,2020,EU-SILC,8129,957.3885525570976,0.12311041527304009,2.2881807034616823
CHE,2021,EU-SILC,8566,948.1939836087003,0.07530121706034405,1.2558345824153685
CHL,1987,CASEN,17899,412.6358311745778,0.01201422755285414,0.5452167712551824
CHL,1990,CASEN,20919,445.2020722657652,0.0382054283408104,1.983042767672206
CHL,1992,CASEN,29349,387.87782020280173,0.026067382276559522,1.2256111432168109
CHL,1994,CASEN,31425,550.3510713904298,0.021992692850361407,2.927559517968602
CHL,1996,CASEN,27877,588.6387143661777,0.01207984845043878,0.8197928163367243
CHL,1998,CASEN,41015,624.0868218840772,0.019266457506804658,1.011531343638942
CHL,2000,CASEN,32734,425.3852609204016,0.01257412108885598,1.0951948064626071
CHL,2003,CASEN,33534,405.2880433443097,0.021432808756332213,1.6538743917749013
CHL,2006,CASEN,45413,357.1205510881374,0.022490947440342808,0.8307592382430917
CHL,2009,CASEN,39115,342.7110773687746,0.0748100419057828,1.723138723747724
CHL,2011,CASEN,41091,352.42726661486427,0.03192575984274631,0.8288914373220255
CHL,2013,CASEN,49778,415.8490989609938,0.05169432118366372,1.5043788759757093
CHL,2015,CASEN,63478,413.8594606426892,0.06528534273931913,1.651865947473331
CHL,2017,CASEN,52238,439.77480691380526,0.06199282330059006,1.8161064567980714
CHL,2020,CASEN,49484,543.9010265901294,0.027598802060297783,1.7847042695913897
CHL,2022,CASEN,51504,482.79363397771016,0.029348213650471567,0.8128420991299012
CIV,1985,EPAM,1583,210.0917115292343,0.0,0.0
CIV,1986,EPAM,1599,118.1873235396277,0.0,0.0
CIV,1987,EPAM,1600,111.12973624781264,0.0,0.0
CIV,1988,EPAM,1600,91.26497899133139,0.0,0.0
CIV,1992,EP,9497,91.57360593481773,0.004390280630377122,0.13216650401379182
CIV,1995,ENV,1000,73.35322784798143,0.0,0.0
CIV,1998,ENV,4177,65.40666756593669,0.0029465292799161344,0.05623605068234284
CIV,2002,ENV,10782,60.39319419988786,0.030526076301951817,0.6698046964952995
CIV,2008,ENV,12593,97.90570160803222,0.0,0.0
CIV,2015,ENV,12861,80.42142313409299,0.011320277137090438,0.27618567239652425
CIV,2018,EHCVM,12986,90.41667849102568,0.0,0.0
CIV,2021,EHCVM,12959,72.49711505341735,0.0038234878292575532,0.05897078777902393
CMR,1996,ECAM-I,1728,53.546379639616994,0.07649146362977802,1.4256501089606803
CMR,2001,ECAM-II,10991,82.2635258466704,0.07724059344492656,2.1315421040282776
CMR,2007,ECAM-III,11390,119.95005165670823,0.004810054580136768,0.1711672205956028
CMR,2014,ECAM-IV,10302,240.67639991654192,0.0,0.0
CMR,2021,ECAM-V,10543,172.33695608578773,0.0,0.0
COD,2004,E123,11901,22.758567075133033,0.003965646310194967,0.13897300924316316
COD,2012,E123,21232,45.639260296195985,0.016644365593565337,0.44897965280868724
COD,2020,EGI-ODD,8992,33.30796030034612,0.10282379425318793,2.422247891852998
COG,2005,ECOM,5002,100.91871110972619,0.009655141476546088,0.37395044451367254
COG,2011,ECOM,10393,191.92162832089656,0.0018079423933746225,0.08936072013862645
COL,1992,ENH,2425,311.87204647064243,0.007050886236076725,0.2447543294229936
COL,1996,ENH,7800,352.4178561860863,0.019249389352239906,2.469098252374612
COL,1999,ENH,8302,382.00157543752726,0.04935604432322784,3.270993572129372
COL,2000,ENH,6982,338.69844227017614,0.06631921108411312,3.5600298926811953
COL,2001,ECH,11339,308.4103688743837,0.022933323826658542,1.0824740178416985
COL,2002,ECH,30541,435.436166967204,0.018024880083112624,1.9374055291106318
COL,2003,ECH,31690,356.0009915256459,0.009104331505245325,0.42966952448376616
COL,2004,ECH,35800,392.358892046189,0.01582873606281626,0.6952951030737133
COL,2005,ECH,35676,406.8394064419765,0.016869307865013856,0.8118686913815707
COL,2008,GEIH,198215,640.2701279894194,0.006668637133197607,0.4423640745932489
COL,2009,GEIH,170083,598.4987139233376,0.0045315728876133285,0.27360178295165566
COL,2010,GEIH,181619,623.1942355987768,0.011767002086557985,0.7288548379669886
COL,2011,GEIH,186554,607.8547914578368,0.0074407397502287975,0.470118788552962
COL,2012,GEIH,187155,639.6871069036775,0.004936006669787377,0.2886494142270689
COL,2013,GEIH,187929,639.8886500070071,0.007402014048577529,0.46002897189016123
COL,2014,GEIH,189789,646.8987745261287,0.006675121530414058,0.515946804819732
COL,2015,GEIH,193802,601.2789787896337,0.008429080866696205,0.4219490591954246
COL,2016,GEIH,191260,535.1590578841252,0.010078672342596086,0.48374305558014213
COL,2017,GEIH,189784,504.4608481062811,0.008147202322436363,0.3202911132885066
COL,2018,GEIH,183699,518.6953100839562,0.014772220059464786,0.6911685161171691
COL,2019,GEIH,185024,572.8586795714921,0.006705857719918717,0.3580931859789515
COL,2020,GEIH,187422,562.5714022309803,0.008121839172482647,0.77494346926405
COL,2021,GEIH,211058,717.7971273003623,0.005506754623829832,0.2965889520794519
COL,2022,GEIH,244538,756.9196817318078,0.0038120282035226127,0.24090462565355716
COM,2004,EIM,2987,178.87545289874745,0.190016279198904,7.614487639622768
COM,2013,EESIC,3131,242.1803276451382,0.0,0.0
CPV,2001,IDRF,4572,233.73843598662222,0.03505514280190445,2.3467243374789195
CPV,2007,QUIBB,6923,229.0578196935261,0.039094704389342746,1.713622383084834
CPV,2015,IDRF,6219,243.94858611900085,0.0,0.0
CRI,1989,EHPM,4031,301.938468722263,0.017773879860701298,0.6006025486370827
CRI,1990,EHPM,3981,310.1033763302095,0.0,0.0
CRI,1991,EHPM,4035,310.0572678075383,0.011846832993104678,0.576540678942591
CRI,1992,EHPM,4243,292.0302260537171,0.0019538442522786708,0.09305912573654297
