"Country","Year","Survey","Valid records","LIS ceiling (PPP/day)","outdetect threshold (PPP/day)","Population affected (%) - LIS","Population affected (%) - outdetect","Welfare affected (%) - LIS","Welfare affected (%) - outdetect","Mean (PPP/day) - Raw","Mean (PPP/day) - LIS-capped","Mean (PPP/day) - Change (%) LIS","Mean (PPP/day) - outdetect-capped","Mean (PPP/day) - Change (%) outdetect","Gini - Raw","Gini - LIS-capped","Gini - Change (%) LIS","Gini - outdetect-capped","Gini - Change (%) outdetect","MLD - Raw","MLD - LIS-capped","MLD - Change (%) LIS","MLD - outdetect-capped","MLD - Change (%) outdetect","Atkinson(2) - Raw","Atkinson(2) - LIS-capped","Atkinson(2) - Change (%) LIS","Atkinson(2) - outdetect-capped","Atkinson(2) - Change (%) outdetect"
"MWI",1997,"IHS-I",10693,38.7815210461652,16.1432647044469,0.434709642833699,1.48931367670054,41.5964282908926,46.860046720085,4.61516630860759,2.86400897616746,-37.9435369246414,2.69292106929375,-41.6506169177203,0.657555705276473,0.448300837517791,-31.8231392533808,0.413795791448769,-37.0706104245896,0.811075873615654,0.336591074323372,-58.5006674131607,0.282240925907321,-65.2016617571012,0.646717721759855,0.430746824251195,-33.3949249018501,0.394902162876502,-38.937476183289
"BLZ",1993,"LFS",704,290.630448944284,213.040375323908,0.246155253090277,0.307884589004557,20.0901990055536,21.4931741930144,10.5691853136104,9.16121706799651,-13.3214453511451,8.95345038735338,-15.287222981854,0.601049590785184,0.539924376891807,-10.1697455302357,0.529310733038427,-11.9355971365092,0.688425294497802,0.547619989974174,-20.4532438957438,0.52551602275255,-23.6640450383352,0.731710250361908,0.690480974127327,-5.63464516373645,0.683301567197268,-6.61582684412268
"BLZ",1994,"LFS",660,228.853103416055,238.109012206983,0.282513237763141,0.282513237763141,19.9589155629467,19.9589155629467,10.3236755795874,8.90972219984714,-13.6962205838396,8.93587136745679,-13.4429273898792,0.605752189612845,0.543417011154382,-10.290541169699,0.544744849230274,-10.0713363366565,0.681165893297561,0.536536102938172,-21.2326823439776,0.539354695578385,-20.8188928885825,0.700358842906074,0.652813472489566,-6.78871565599471,0.653828935510309,-6.64372383772479
"BLZ",1997,"LFS",753,295.79204689622,197.232657259969,0.113681871616995,0.164063610174528,18.2439892195915,19.4349867138221,8.54773742008037,7.32455106164776,-14.3100600582219,7.21007280609921,-15.6493414367025,0.602251640358501,0.535916569385902,-11.0145106343108,0.528566667588746,-12.2349144164875,0.72088240663607,0.567771307994101,-21.2394001063846,0.5524914066891,-23.3590109006475,0.795562496943917,0.761422711765262,-4.29127633715759,0.757635529396419,-4.76731466015436
"SYC",2013,"HBS",1759,263.640549820467,127.672795098123,0.221724234481656,0.88364320376907,12.063038524619,17.6105961581804,24.1287666114804,21.8026591904948,-9.64039090120287,21.0077189425293,-12.9349656333703,0.468146302341744,0.411539372277232,-12.0917178628465,0.389510020445914,-16.7973732789254,0.400183905191472,0.301866169921497,-24.5681382970496,0.269189998181211,-32.7334271346034,0.541004716139092,0.492066715364518,-9.04576232233659,0.47299873800958,-12.5703115149975
"MDV",2002,"HIES",834,63.8917035553409,33.4722940412602,0.323230049006655,0.489437312379497,11.8246353951171,12.7200094396175,7.05623258728389,6.42837599591925,-8.89790102010115,6.32250503244732,-10.3982903874063,0.413120270527936,0.355925234255005,-13.8446453377464,0.345199460652818,-16.4409288821196,0.300817941286179,0.21079090595851,-29.9274155466755,0.196480806734009,-34.684478627194,0.383416818290479,0.323268469940768,-15.6874569607802,0.312091138402785,-18.6026476891939
"MWI",2016,"IHS-IV",12445,30.0123232668325,12.5044554339555,0.109325065187242,0.804006529384597,10.9665389352667,15.7904990684211,2.5000184059762,2.25866390607165,-9.65410891886219,2.20578966102316,-11.7690631496831,0.446943077124833,0.387863851489459,-13.2185123026021,0.373293167437859,-16.4785883161589,0.348481125248169,0.247871717072463,-28.8708342823611,0.227258836663089,-34.7858979446167,0.41681112064856,0.354505723215227,-14.9481130293226,0.339214152987126,-18.6168179823735
"ETH",1995,"HICES",11524,27.0068412081767,14.5319414911949,0.405837111727011,0.989494499439391,10.8901692731097,15.6967199641978,2.37903672729592,2.22955938495191,-6.28310360361318,2.14939875608399,-9.6525609956827,0.445645132210074,0.408562267488175,-8.32116454139092,0.386761509338633,-13.2131192770851,0.341138633765302,0.278600268862514,-18.332243467274,0.246156413376018,-27.8427041056363,0.417421455549709,0.378411140599258,-9.34554619361333,0.355429318676059,-14.8512099820099
"MDG",1993,"EPM",4501,31.9808557022358,16.8902137422436,0.272394531804223,0.537383625275614,8.80847720608475,11.6140460788368,2.1035774658147,2.00539842638316,-4.66724145067362,1.95003225255582,-7.29924216027913,0.452556975065018,0.425830483741037,-5.90566333004627,0.409635118331031,-9.48429901623335,0.360228077607908,0.314228097569868,-12.7696820146563,0.28863726782289,-19.8737450618551,0.470074931833383,0.444154823140479,-5.51403764327758,0.428441965971682,-8.85666582970592
"PRY",2002,"EPH",3730,583.385901316247,172.567332467278,0.0557837420515141,0.304430474955796,8.42293254095893,13.9931319330527,12.0427834645846,11.353862423664,-5.72061303723129,10.8829684358221,-9.63078869742425,0.572529655917799,0.546615847536943,-4.52619495130162,0.527057885482405,-7.94225591030745,0.613496503143009,0.555153193795091,-9.50996607951616,0.51441010611047,-16.1510940200813,0.673381883128439,0.653564345662831,-2.94298643342452,0.638583285748196,-5.16773590916556
