# LIS cap (PPP/day): 48.5667
# outdetect cap (PPP/day, exact S-estimator via robustbase::Sn(), no subsampling): 20.2250
# Records above LIS cap: 59; records above outdetect cap: 205
"Approach","Mean (PPP/day)","Gini","MLD","Atkinson(2)"
"Unadjusted",5.77964796334671,0.657555707569683,0.811075880230553,0.64671772420863
"Remove 2 highest",3.79970057406154,0.479181650100485,0.392118983241163,0.462655729483641
"Remove above LIS cap",3.39025860358312,0.420240249635922,0.293126390242503,0.400280214961038
"Remove above outdetect cap",3.11848329830067,0.378432396864226,0.235216255512122,0.354384952908906
"Cap at LIS cap",3.58664509099034,0.448300839161496,0.336591077066811,0.430746826086743
"Cap at outdetect cap",3.37251659625934,0.413817422132914,0.282272473269914,0.394924687231192
