hhid,subnatid,urban,hsize,weight,welfare_ppp_day,predicted_welfare_ppp_day,in_sample_predicted_welfare_ppp_day,actual_to_predicted_ratio,log_residual_crossfit,standardized_log_residual,inconsistency_flag,direction
50505119063.0,305 – Blantyre City,Urban,6,1180.1187,52.33770957353321,7.013353844139389,6.8903624331437525,7.4625793502873785,2.0099011118665273,3.4825738883856947,True,reported welfare unusually high
50511139060.0,305 – Blantyre City,Urban,4,786.7458,57.384922842992694,7.689843006079269,7.891197511847249,7.462431001208551,2.0098812326067694,3.482539443411987,True,reported welfare unusually high
343406014289.0,134 – Karonga,Rural,5,742.0,28.291436917455282,3.865854001841706,4.0388073461199445,7.318289025911777,1.990376561022317,3.448743522030327,True,reported welfare unusually high
90964022031.0,309 – Mulanje,Rural,1,193.62004,20.13967684696553,2.7564923072741876,2.772984806260875,7.306269926390997,1.9887328735421013,3.445895489823434,True,reported welfare unusually high
242403135093.0,224 – Lilongwe City,Urban,3,783.1848,83.3261487378685,11.45052867395728,11.620434280295736,7.27705690370287,1.9847265089994677,3.438953625638597,True,reported welfare unusually high
111112012152.0,311 – Machinga,Rural,4,1916.5955,15.625114126939295,2.151012256005445,2.1820616573789717,7.264074894652642,1.9829409516330434,3.435859774192966,True,reported welfare unusually high
303034065196.0,130 – Mzimba,Rural,8,1854.3932,18.43477099468444,2.5456881521081622,2.56476949118307,7.241566874331422,1.9798376020889386,3.4304825722873478,True,reported welfare unusually high
121203001170.0,312 – Mangochi,Rural,2,421.3189,17.340629382196155,2.4183148071719156,2.417898656745204,7.17054261536572,1.969981330320675,3.413404520788032,True,reported welfare unusually high
50514195024.0,305 – Blantyre City,Urban,12,2360.2373,36.45331284833346,5.193233939408822,5.37244299746486,7.019385853525244,1.9486757289578478,3.376488112043111,True,reported welfare unusually high
70708019519.0,307 – Zomba City,Urban,1,59.50424,46.45751980228619,6.624873558995584,6.654946987099182,7.012589657534498,1.9477070561552459,3.3748096838911916,True,reported welfare unusually high
50512147092.0,305 – Blantyre City,Urban,2,393.3729,69.19304910550794,9.954292165870918,9.692441390011416,6.9510767769848885,1.9388965795162592,3.3595436910988035,True,reported welfare unusually high
131333018092.0,313 – Chiradzulu,Rural,4,464.50525,13.130823040571658,1.8978116212422187,1.8706143686747203,6.918928566775682,1.9342609262511636,3.3515114526362657,True,reported welfare unusually high
50510137079.0,305 – Blantyre City,Urban,5,983.43225,51.00962172403613,7.474968366683244,7.331906992542521,6.824058540687827,1.9204543887996839,3.3275887399546997,True,reported welfare unusually high
70703007163.0,307 – Zomba City,Urban,3,178.51271,34.24149469254904,5.039703867232343,5.034175641236947,6.794346571667407,1.9160908798691174,3.3200280484492275,True,reported welfare unusually high
252563026159.0,225 – Mchinji,Rural,2,324.36612,23.470486484510936,3.478346631747129,3.3806790188969615,6.747598491275728,1.9091866625097869,3.308065048402417,True,reported welfare unusually high
