# LIS cap (PPP/day): 48.5667
# outdetect cap (PPP/day, exact S-estimator, no subsampling): 20.2228
# Records above LIS cap: 59; records above outdetect cap: 206
Approach,Mean (PPP/day),Gini,MLD,Atkinson(2)
Unadjusted,5.77964796334671,0.6575557075696831,0.8110758802305527,0.6467177242086297
Remove 2 highest,3.799700574061537,0.4791816501004842,0.3921189832411628,0.4626557294836414
Remove above LIS cap,3.3902586035831193,0.42024024963592166,0.29312639024250353,0.4002802149610386
Remove above outdetect cap,3.117735063001182,0.37831632888959477,0.23506835536472104,0.3542554432506543
Cap at LIS cap,3.5866450909903373,0.4483008391614953,0.33659107706681124,0.43074682608674253
Cap at outdetect cap,3.3724834892512594,0.4138118138122572,0.2822642935355473,0.39491884727175675
