welfare_dec,weight,x,code,year,survname,mod,survey_coverage,datatype,use_imputed,use_microdata,use_bin,use_groupdata,rep_year,comparability,ref_year
2.0727031230926514,1082.0050048828125,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.4864376783370972,1082.0050048828125,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
2.826615333557129,388.4232482910156,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
2.6203763484954834,2529.112548828125,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
3.2126827239990234,324.3661193847656,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
7.197390079498291,231.7991485595703,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.677343487739563,1005.2027587890625,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.8371044397354126,518.379638671875,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
3.996821403503418,1126.1138916015625,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.0324434041976929,1161.72021484375,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
0.7056174874305725,455.21624755859375,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.9213461875915527,1475.315673828125,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.0695868730545044,580.631591796875,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
0.7693907618522644,1741.8946533203125,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
2.344358444213867,541.0025024414062,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.137966513633728,464.5052490234375,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.3768075704574585,342.1363525390625,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
17.869173049926758,783.184814453125,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.6117557287216187,1264.5562744140625,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
5.720815181732178,196.6864471435547,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.6778849363327026,968.1002197265625,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.9514615535736084,606.9550170898438,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
3.9942049980163574,786.7457885742188,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
3.4354255199432373,2989.404052734375,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
5.677157402038574,1305.30810546875,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.0558732748031616,2874.89306640625,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
2.292259931564331,1355.34033203125,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
3.362452745437622,590.059326171875,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.5615301132202148,1264.5562744140625,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
