"year","model","scenario","nll","ks","convergence"
1993,"dagum","all",3.26751985076191,0.0329518572987103,0
1993,"dagum","without_top_two",3.26405074897109,0.0327788179754254,0
1993,"fisk","all",3.26864826863594,0.0305597946987805,0
1993,"fisk","without_top_two",3.26529285642171,0.0302686671600823,0
1997,"dagum","all",3.09261554775479,0.0428579531316144,0
1997,"dagum","without_top_two",3.08894974787869,0.0427139101205963,0
1997,"fisk","all",3.1020276589355,0.0353000718409407,0
1997,"fisk","without_top_two",3.09870994054749,0.035011289369464,0
