Country,Year,Survey,Valid records,LIS ceiling (PPP/day),Welfare share above ceiling (%),mean_ppp_day original,mean_ppp_day LIS-capped,mean_ppp_day change (%),gini original,gini LIS-capped,gini change (%),mld original,mld LIS-capped,mld change (%),atkinson_2 original,atkinson_2 LIS-capped,atkinson_2 change (%)
AGO,2000,HBS,10034,316.17351319330055,0.8015753547016705,7.3882604578743605,7.360229107661424,-0.37940392562989533,0.5195689245995974,0.5177394899901144,-0.3521062409367115,0.5125764603511331,0.5088345103989373,-0.730027662533006,0.668264009482556,0.6670007043815134,-0.18904281588063565
AGO,2008,IBEP-MICS,9000,174.6913023428673,0.14558610015617857,6.526025244935403,6.52294032109049,-0.04727109885618308,0.4271551495708017,0.4268842412166505,-0.06342153534223405,0.3116315018406357,0.31117158347118345,-0.147584042927551,0.44684030454294144,0.4465788096571882,-0.05852088164264302
AGO,2018,IDREA,11971,257.5047336760748,3.6968155662577042,5.482073309770681,5.347478494041966,-2.4551808799934682,0.5127211121137939,0.50046177990928,-2.391033237147655,0.47788964770152265,0.45330110288281245,-5.145234875242066,0.5977707640335052,0.5876473071841734,-1.6935349566149727
ALB,1996,EWS,1503,74.17494950742157,0.0,7.93315755093481,7.93315755093481,0.0,0.2701034200412623,0.2701034200412623,0.0,0.11910432674727511,0.11910432674727511,0.0,0.2120694998283984,0.2120694998283984,0.0
ALB,2002,LSMS,3599,82.64827021400262,0.6765943856207781,8.108228792920997,8.098454591918859,-0.12054668475403041,0.3173897985728147,0.3165664042809885,-0.25942682957319496,0.16481159991969063,0.16370980890450126,-0.6685154538432103,0.2673525580197763,0.26647320970565114,-0.32890963177547583
ALB,2005,LSMS,3638,91.91232892789695,0.3863102996345399,9.165974567859603,9.1635187345328,-0.026792931931252095,0.3059565575022565,0.3057706491653738,-0.060762984915374574,0.1544127567547977,0.15417056207043345,-0.15684888311970901,0.25650336990015865,0.2563054831240459,-0.0771478270206738
ALB,2008,LSMS,3598,87.51892342714747,1.3375929284124357,10.038169347242974,9.972640965689939,-0.6527921505033452,0.2998467047305624,0.29524938108279664,-1.5332246695513474,0.14889338157804444,0.14281837239980888,-4.080106928763161,0.2403659430581574,0.23539614744001836,-2.067595581515713
ALB,2012,LSMS,6670,92.6460673409611,0.35446086244859704,9.517231457620452,9.513863605585515,-0.035386887982435944,0.289604845787069,0.2893534525927304,-0.08680558975296959,0.1384170682166168,0.13809705661683758,-0.23119374214632948,0.23933609428827318,0.2390687113519101,-0.11171860105689824
ALB,2014,HBS,6565,183.35060073451805,0.0,10.141309872518642,10.141309872518642,0.0,0.34598896452901007,0.34598896452901007,0.0,0.198661566096626,0.198661566096626,0.0,0.32419187874666555,0.32419187874666555,0.0
ALB,2015,HBS,7333,175.45173443749476,0.0,12.245265077947879,12.245265077947879,0.0,0.3275373178971016,0.3275373178971016,0.0,0.17549547015422373,0.17549547015422373,0.0,0.2907951246963726,0.2907951246963726,0.0
ALB,2016,HBS,7352,203.0076774356069,0.0,12.532007403841535,12.532007403841535,0.0,0.33736298729319636,0.33736298729319636,0.0,0.18758058235868003,0.18758058235868003,0.0,0.30900529447553515,0.30900529447553515,0.0
ALB,2017,HBS,7516,192.38917607244747,0.0,12.411218946142851,12.411218946142851,0.0,0.33055662733754054,0.33055662733754054,0.0,0.1799084650236753,0.1799084650236753,0.0,0.3000325369582091,0.3000325369582091,0.0
ALB,2017,SILC-C,4479,256.75492470371444,0.0,9.944761258067858,9.944761258067858,0.0,0.3856564270622733,0.3856564270622733,0.0,0.2737398434133045,0.2737398434133045,0.0,0.4666060567717186,0.4666060567717186,0.0
ALB,2018,HBS,7559,154.22549652006106,0.0,13.316507073286058,13.316507073286058,0.0,0.3014828172492744,0.3014828172492744,0.0,0.1524044140735734,0.1524044140735734,0.0,0.2687007677754888,0.2687007677754888,0.0
ALB,2018,SILC-C,4978,230.6467857287527,0.0,10.411014377627422,10.411014377627422,0.0,0.3709512670429479,0.3709512670429479,0.0,0.25417492956405185,0.25417492956405185,0.0,0.44399699104346846,0.44399699104346846,0.0
ALB,2019,HBS,7132,146.912259486561,0.0,13.749830807680677,13.749830807680677,0.0,0.3011576833229681,0.3011576833229681,0.0,0.147458802199246,0.147458802199246,0.0,0.24997572016698444,0.24997572016698444,0.0
ALB,2019,SILC-C,5017,199.4376337980706,0.0,10.89724167534974,10.89724167534974,0.0,0.3598875186741023,0.3598875186741023,0.0,0.2330512865662162,0.2330512865662162,0.0,0.4057163001752391,0.4057163001752391,0.0
ALB,2020,HBS,5797,145.17077893275993,0.0,13.952189784307285,13.952189784307285,0.0,0.29419629791601487,0.29419629791601487,0.0,0.1427362856862473,0.1427362856862473,0.0,0.24939840646142297,0.24939840646142297,0.0
ARG,1986,EPH,1211,846.6045165739923,0.0,35.55950571946168,35.55950571946168,0.0,0.4217147358088861,0.4217147358088861,0.0,0.3065271098287692,0.3065271098287692,0.0,0.4496509922525591,0.4496509922525591,0.0
ARG,1987,EPH,1384,920.0194802532981,0.6484772526605269,32.400891650199476,32.34747686975383,-0.16485589662875721,0.44841712252947596,0.44750658533933074,-0.2030558478697153,0.35325710215338546,0.351657141844989,-0.4529166713544974,0.5016057209119218,0.5007831112083874,-0.16399527940768044
ARG,1991,EPH,758,546.0625761743363,3.8755194176283925,22.915131376067528,22.635992369485304,-1.2181427284931656,0.4651880276204303,0.4586005470682477,-1.416089873567783,0.3744632837625943,0.36258889601034516,-3.171041933119767,0.4981846026404614,0.4919995842730144,-1.241511346329327
ARG,1992,EPH,2379,718.2953970131747,0.2641922031838773,23.194978836630003,23.192809914929633,-0.009350824226428411,0.45016466516327014,0.4501132539152368,-0.011420542750650853,0.3546666455298384,0.3545760983767523,-0.025530213857816175,0.5101452841289668,0.5100994969632455,-0.008975318824988587
ARG,1993,EPH,2482,746.9299499654252,0.0,23.244326417658755,23.244326417658755,0.0,0.4439823599676408,0.4439823599676408,0.0,0.35151763217075915,0.35151763217075915,0.0,0.5163910603421326,0.5163910603421326,0.0
ARG,1994,EPH,2508,755.5268231398961,0.0,23.039816505206158,23.039816505206158,0.0,0.4528650426550608,0.4528650426550608,0.0,0.3598918723054023,0.3598918723054023,0.0,0.5082287508121353,0.5082287508121353,0.0
ARG,1995,EPH,2584,729.3646277821728,0.0,21.964350697477105,21.964350697477105,0.0,0.48123903598362916,0.48123903598362916,0.0,0.41558978186203266,0.41558978186203266,0.0,0.5689733295844848,0.5689733295844848,0.0
ARG,1996,EPH,2486,878.1978650738107,0.0,21.599650016762215,21.599650016762215,0.0,0.4855580292581325,0.4855580292581325,0.0,0.4292496677916726,0.4292496677916726,0.0,0.6066245217751284,0.6066245217751284,0.0
ARG,1997,EPH,2612,999.0356586597579,0.0,22.540602947776758,22.540602947776758,0.0,0.48345390883581674,0.48345390883581674,0.0,0.42462259542909875,0.42462259542909875,0.0,0.5857575576454226,0.5857575576454226,0.0
ARG,1998,EPH,3296,1135.6802223133577,0.016167870847914767,21.820542111934657,21.81971727358816,-0.003780100156380861,0.5014705617683483,0.5014517162338656,-0.0037580539954618075,0.45836006282394104,0.4583228949780249,-0.008108875299284168,0.6046942571075874,0.604679315260582,-0.0024709755103047293
ARG,1999,EPH,3070,924.5268857037661,0.0,20.848982146286563,20.848982146286563,0.0,0.49073176685748887,0.49073176685748887,0.0,0.4393562876641006,0.4393562876641006,0.0,0.6057172590931115,0.6057172590931115,0.0
ARG,2000,EPH,3003,1171.9905480439775,0.016170557349750043,20.379815599940567,20.379336912108947,-0.00234883298758648,0.503949086167437,0.5039374345427139,-0.00231206386577254,0.4720847362147995,0.47206162483473246,-0.004895599940879514,0.6381157296131461,0.6381072301514137,-0.0013319624228014249
ARG,2001,EPH,3000,1305.8498160466186,0.0,18.963027710620104,18.963027710620104,0.0,0.5221049557998546,0.5221049557998546,0.0,0.5174217436457988,0.5174217436457988,0.0,0.6746769190125099,0.6746769190125099,0.0
ARG,2002,EPH,2529,871.296528433411,0.0,13.151247896495851,13.151247896495851,0.0,0.53273860365771,0.53273860365771,0.0,0.5307249503773539,0.5307249503773539,0.0,0.6573926672146757,0.6573926672146757,0.0
ARG,2003,EPHC-S2,23455,1249.7231943875647,1.7148477390319061,18.455873487917483,18.22444029534192,-1.2539812473632006,0.5082150932335382,0.5019707533414801,-1.228680528224424,0.48381948227181315,0.47128981251758306,-2.5897406395038125,0.6427552874403302,0.6382187117313098,-0.7058013831494847
ARG,2004,EPHC-S2,23943,1168.870022964406,0.0,19.870227949515197,19.870227949515197,0.0,0.48360625645501487,0.48360625645501487,0.0,0.43398774045000055,0.43398774045000055,0.0,0.6009580851849587,0.6009580851849587,0.0
ARG,2005,EPHC-S2,23983,1138.5498188647343,0.0,21.853264605210615,21.853264605210615,0.0,0.4769332088991298,0.4769332088991298,0.0,0.4189934404978328,0.4189934404978328,0.0,0.5831624569321445,0.5831624569321445,0.0
