"country","year","records","lis_ceiling_ppp_day","records_above_lis","population_share_above_lis_pct","welfare_share_above_lis_pct","pareto_p90_threshold","pareto_alpha","top1_ppp_day","top1_empirical_to_pareto","top2_ppp_day","top2_empirical_to_pareto"
"BLZ",1993,9097,353.79701758559,22,0.246155253090277,20.090198842017,22.0823248204301,1.80576621100319,3477.96620167339,9.83788175283458,1635.38608090952,8.27508892238307
"BLZ",1997,10122,360.080420568915,11,0.113681871616995,18.2439896863424,18.790231662381,1.99732602136824,4099.64591128678,96.8832746924495,4099.64591128678,96.8832746924495
