"year","tail_start","threshold_ppp_day","pareto_alpha","maximum_empirical_to_pareto_above_lis"
1993,"p90",22.0823248204301,1.80576621100319,16.8171876629337
1993,"p95",32.461017882285,1.8711791221117,20.9299698247451
1993,"p99",63.1186446242758,0.937586016973383,2.00528697287258
1997,"p90",18.790231662381,1.99732602136824,96.8832746924495
1997,"p95",26.6479649030131,2.0826712056408,145.598334723951
1997,"p99",54.6624921087448,1.42095111690033,10.2148428208478
