"indicator","all_records","excluding_two_largest","absolute_change","percent_change"
"mean_ppp_day",5.77964796334671,3.79970057406154,-1.97994738928517,-34.2572316141325
"headcount_ratio",0.519789123506556,0.519814546041877,2.5422535321451e-05,0.00489093252855621
"fgt1",0.174076528664388,0.174085042629953,8.51396556506012e-06,0.00489093252857842
"fgt2",0.0782389076043561,0.0782427342165381,3.82661218201186e-06,0.00489093252855621
"watts",0.240167866588987,0.240179613037297,1.17464483101737e-05,0.00489093252857842
"gini",0.657555707569683,0.479181650100485,-0.178374057469199,-27.1268358582829
"mld",0.811075880230553,0.392118983241163,-0.41895689698939,-51.6544638055689
"atkinson_2",0.64671772420863,0.462655729483641,-0.184061994724988,-28.4609479275088
