hhid,welfare_ppp_day,fitted_welfare_with_intercept,fitted_welfare_without_intercept,log_observed_welfare,log_fitted_welfare,ratio_with_intercept,ratio_without_intercept,urban,hsize,subnatid,flag_with_intercept,flag_without_intercept
252563005049.0,53435.87736543687,3.297460151459676,3.2974601514597324,10.886238264271398,1.1931531510561805,16205.162431389075,16205.162431388799,Rural,2,225 – Mchinji,True,True
343406801173.0,12186.407816487754,6.381536968122896,6.381536968123016,9.408076262434115,1.853409216743723,1909.6352300960402,1909.6352300960043,Rural,1,134 – Karonga,True,True
313110008237.0,543.6131314845201,7.304342060725062,7.304342060725256,6.298237736408156,1.9884692359428122,74.4232850768983,74.42328507689632,Urban,2,131 – Mzuzu City,True,True
242418065255.0,442.96033824619815,8.722409956074163,8.722409956074356,6.093479880312603,2.165896080576692,50.78416865028533,50.7841686502842,Urban,7,224 – Lilongwe City,True,True
313109004249.0,321.8871781529243,9.192571308469642,9.192571308469761,5.774200741902458,2.218395843912785,35.01601101058104,35.016011010580584,Urban,1,131 – Mzuzu City,True,True
