reporting_level,welfare,weight,quantile_point
national,0.0,366.1322509765625,1
national,0.0,366.1322509765625,2
national,0.0,366.1322509765625,3
national,0.0,366.1322509765625,4
national,0.0,366.1322509765625,5
national,0.0,366.1322509765625,6
national,0.0,366.1322509765625,7
national,0.0,366.1322509765625,8
national,0.0,366.1322509765625,9
national,0.0,366.1322509765625,10
national,0.0,366.1322509765625,11
national,0.0,366.1322509765625,12
national,0.0,366.1322509765625,13
national,0.0,366.1322509765625,14
national,0.0,366.1322509765625,15
national,0.0,366.1322509765625,16
national,0.0,366.1322509765625,17
national,0.0,366.1322509765625,18
national,0.0,366.1322509765625,19
national,0.0,366.1322509765625,20
national,0.0,366.1322509765625,21
national,0.0,366.1322509765625,22
national,0.0,366.1322509765625,23
national,0.0,366.1322509765625,24
national,0.0,366.1322509765625,25
national,0.0,366.1322509765625,26
national,0.0,366.1322509765625,27
national,0.0,366.1322509765625,28
national,0.0,366.1322509765625,29
national,0.0,366.1322509765625,30
national,0.0,366.1322509765625,31
national,0.0,366.1322509765625,32
national,0.0,366.1322509765625,33
national,0.0,366.1322509765625,34
national,0.0,366.1322509765625,35
national,0.0,366.1322509765625,36
national,0.0,366.1322509765625,37
national,0.0,366.1322509765625,38
national,0.0,366.1322509765625,39
national,0.0,366.1322509765625,40
national,0.002244129927040746,366.1322509765625,41
national,0.00673238978112216,366.1322509765625,42
national,0.011220649635203613,366.1322509765625,43
national,0.015708909489285067,366.1322509765625,44
national,0.020197169343366482,366.1322509765625,45
national,0.024685429197447935,366.1322509765625,46
national,0.029173689051529388,366.1322509765625,47
national,0.0336619489056108,366.1322509765625,48
national,0.03815020875969225,366.1322509765625,49
national,0.042638468613773704,366.1322509765625,50
national,0.04712672846785516,366.1322509765625,51
national,0.051614988321936575,366.1322509765625,52
national,0.05610324817601803,366.1322509765625,53
national,0.06059150803009948,366.1322509765625,54
national,0.06507976788418089,366.1322509765625,55
national,0.06956802773826234,366.1322509765625,56
national,0.0740562875923438,366.1322509765625,57
national,0.07854454744642521,366.1322509765625,58
national,0.08303280730050668,366.1322509765625,59
national,0.08752106715458813,366.1322509765625,60
national,0.16486950154280638,366.1322509765625,61
national,0.31507811046515893,366.1322509765625,62
national,0.46528671938751276,366.1322509765625,63
national,0.6154953283098665,366.1322509765625,64
national,0.7657039372322192,366.1322509765625,65
national,0.915912546154573,366.1322509765625,66
national,1.0661211550769267,366.1322509765625,67
national,1.2163297639992794,366.1322509765625,68
national,1.3665383729216332,366.1322509765625,69
national,1.516746981843987,366.1322509765625,70
national,1.666955590766341,366.1322509765625,71
national,1.8171641996886934,366.1322509765625,72
national,1.9673728086110471,366.1322509765625,73
national,2.1175814175334007,366.1322509765625,74
national,2.2677900264557533,366.1322509765625,75
national,2.4179986353781073,366.1322509765625,76
national,2.568207244300461,366.1322509765625,77
national,2.7184158532228135,366.1322509765625,78
national,2.868624462145169,366.1322509765625,79
national,3.018833071067521,366.1322509765625,80
national,3.0981614166279825,366.1322509765625,81
national,3.1066094988265536,366.1322509765625,82
national,3.115057581025124,366.1322509765625,83
national,3.1235056632236944,366.1322509765625,84
national,3.1319537454222655,366.1322509765625,85
national,3.140401827620836,366.1322509765625,86
national,3.1488499098194063,366.1322509765625,87
national,3.1572979920179773,366.1322509765625,88
national,3.165746074216548,366.1322509765625,89
national,3.174194156415118,366.1322509765625,90
national,3.1826422386136892,366.1322509765625,91
national,3.1910903208122594,366.1322509765625,92
national,3.19953840301083,366.1322509765625,93
national,3.207986485209401,366.1322509765625,94
national,3.2164345674079713,366.1322509765625,95
national,3.224882649606542,366.1322509765625,96
national,3.233330731805113,366.1322509765625,97
national,3.241778814003683,366.1322509765625,98
national,3.2502268962022542,366.1322509765625,99
national,3.258674978400825,366.1322509765625,100
national,3.2827246269699186,366.1322509765625,101
national,3.3223758419095364,366.1322509765625,102
national,3.3620270568491533,366.1322509765625,103
national,3.4016782717887706,366.1322509765625,104
national,3.4413294867283883,366.1322509765625,105
national,3.480980701668005,366.1322509765625,106
national,3.5206319166076225,366.1322509765625,107
national,3.5602831315472403,366.1322509765625,108
national,3.599934346486857,366.1322509765625,109
national,3.6395855614264745,366.1322509765625,110
national,3.679236776366092,366.1322509765625,111
national,3.718887991305709,366.1322509765625,112
national,3.7585392062453264,366.1322509765625,113
national,3.7981904211849438,366.1322509765625,114
national,3.837841636124561,366.1322509765625,115
national,3.877492851064178,366.1322509765625,116
national,3.9171440660037957,366.1322509765625,117
national,3.956795280943413,366.1322509765625,118
national,3.996446495883031,366.1322509765625,119
national,4.036097710822648,366.1322509765625,120
national,4.118436963505472,366.1322509765625,121
national,4.243464253931505,366.1322509765625,122
national,4.368491544357535,366.1322509765625,123
national,4.493518834783565,366.1322509765625,124
national,4.618546125209598,366.1322509765625,125
national,4.743573415635629,366.1322509765625,126
