reporting_level,bin,avg_welfare,pop_share,welfare_share,quantile,pop,cum_pop_share,cum_welfare_share
national,1,0.20259980857372284,5e-05,1.7527002963958354e-06,0.20259980857372284,483.3324045991898,5e-05,1.7527002963958354e-06
national,2,0.20259980857372284,5e-05,1.7527002963958354e-06,0.20259980857372284,483.3324045991898,0.0001,3.505400592791671e-06
national,3,0.20259980857372284,5e-05,1.7527002963958354e-06,0.20259980857372284,483.3324045991898,0.00015000000000000001,5.258100889187507e-06
national,4,0.2813785481872253,5e-05,2.434218809381165e-06,0.28573334217071533,483.3324045991898,0.0002,7.692319698568671e-06
national,5,0.28573334217071533,5e-05,2.4718923331585998e-06,0.28573334217071533,483.3324045991898,0.00025,1.016421203172727e-05
national,6,0.28573334217071533,5e-05,2.4718923331585998e-06,0.28573334217071533,483.3324045991898,0.00030000000000000003,1.263610436488587e-05
national,7,0.3021334048773027,5e-05,2.613770032693969e-06,0.3064134418964386,483.3324045991898,0.00035000000000000005,1.5249874397579839e-05
national,8,0.30660335882689327,5e-05,2.65243981065416e-06,0.3102390170097351,483.3324045991898,0.0004000000000000001,1.7902314208234e-05
national,9,0.3102390170097351,5e-05,2.6838920574233968e-06,0.3102390170097351,483.3324045991898,0.0004500000000000001,2.0586206265657396e-05
national,10,0.3102390170097351,5e-05,2.6838920574233968e-06,0.3102390170097351,483.3324045991898,0.0005000000000000001,2.3270098323080793e-05
national,11,0.31988160640619234,5e-05,2.7673105434139403e-06,0.32352983951568604,483.3324045991898,0.0005500000000000001,2.6037408866494733e-05
national,12,0.32352983951568604,5e-05,2.7988715764541268e-06,0.32352983951568604,483.3324045991898,0.0006000000000000002,2.883628044294886e-05
national,13,0.3239432737982071,5e-05,2.8024482155171947e-06,0.3248140215873718,483.3324045991898,0.0006500000000000002,3.1638728658466055e-05
national,14,0.3248140215873718,5e-05,2.8099810948367707e-06,0.3248140215873718,483.3324045991898,0.0007000000000000002,3.444870975330283e-05
national,15,0.3248140215873718,5e-05,2.8099810948367707e-06,0.3248140215873718,483.3324045991898,0.0007500000000000002,3.72586908481396e-05
national,16,0.33166225871591415,5e-05,2.869225510364525e-06,0.3380400240421295,483.3324045991898,0.0008000000000000003,4.012791635850412e-05
national,17,0.3380400240421295,5e-05,2.9243998526124012e-06,0.3380400240421295,483.3324045991898,0.0008500000000000003,4.305231621111652e-05
national,18,0.3422496350968384,5e-05,2.9608173921710067e-06,0.34621694684028625,483.3324045991898,0.0009000000000000003,4.6013133603287526e-05
national,19,0.34621694684028625,5e-05,2.995138789202857e-06,0.34621694684028625,483.3324045991898,0.0009500000000000003,4.900827239249038e-05
national,20,0.34621694684028625,5e-05,2.995138789202857e-06,0.34621694684028625,483.3324045991898,0.0010000000000000002,5.200341118169324e-05
national,21,0.34621694684028625,5e-05,2.995138789202857e-06,0.34621694684028625,483.3324045991898,0.0010500000000000002,5.499854997089609e-05
national,22,0.34621694684028625,5e-05,2.995138789202857e-06,0.34621694684028625,483.3324045991898,0.0011,5.799368876009895e-05
national,23,0.34621694684028625,5e-05,2.995138789202857e-06,0.34621694684028625,483.3324045991898,0.00115,6.09888275493018e-05
national,24,0.34621694684028625,5e-05,2.995138789202857e-06,0.34621694684028625,483.3324045991898,0.0012,6.398396633850466e-05
national,25,0.34621694684028625,5e-05,2.995138789202857e-06,0.34621694684028625,483.3324045991898,0.0012499999999999998,6.697910512770752e-05
national,26,0.34622285012816495,5e-05,2.995189858818804e-06,0.34622928500175476,483.3324045991898,0.0012999999999999997,6.997429498652633e-05
national,27,0.34622928500175476,5e-05,2.9952455272072764e-06,0.34622928500175476,483.3324045991898,0.0013499999999999996,7.29695405137336e-05
national,28,0.34884187283571205,5e-05,3.0178471451612776e-06,0.34949713945388794,483.3324045991898,0.0013999999999999996,7.598738765889487e-05
