reporting_level,bin,avg_welfare,pop_share,welfare_share,quantile,pop,cum_pop_share,cum_welfare_share
national,1,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,5.000000000000001e-05,0.0
national,2,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.00010000000000000002,0.0
national,3,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.00015000000000000001,0.0
national,4,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.00020000000000000004,0.0
national,5,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.00025000000000000006,0.0
national,6,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0003000000000000001,0.0
national,7,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0003500000000000001,0.0
national,8,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.00040000000000000013,0.0
national,9,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.00045000000000000015,0.0
national,10,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0005000000000000001,0.0
national,11,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0005500000000000001,0.0
national,12,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0006000000000000002,0.0
national,13,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0006500000000000002,0.0
national,14,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0007000000000000002,0.0
national,15,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0007500000000000002,0.0
national,16,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0008000000000000003,0.0
national,17,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0008500000000000003,0.0
national,18,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0009000000000000003,0.0
national,19,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0009500000000000003,0.0
national,20,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0010000000000000002,0.0
national,21,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0010500000000000002,0.0
national,22,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0011,0.0
national,23,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.00115,0.0
national,24,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0012,0.0
national,25,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0012499999999999998,0.0
national,26,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0012999999999999997,0.0
national,27,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0013499999999999996,0.0
national,28,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0013999999999999996,0.0
national,29,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0014499999999999995,0.0
national,30,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0014999999999999994,0.0
national,31,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0015499999999999993,0.0
national,32,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0015999999999999992,0.0
national,33,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0016499999999999991,0.0
national,34,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.001699999999999999,0.0
national,35,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.001749999999999999,0.0
national,36,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0017999999999999989,0.0
national,37,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0018499999999999988,0.0
national,38,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0018999999999999987,0.0
national,39,0.0,5.000000000000001e-05,0.0,0.0,366.1322509765625,0.0019499999999999986,0.0
