survey,removed_top_records,fit_records,fit_weighted_mean_ppp_day,a,b,p,q,weighted_neg_loglik,converged,optimizer_message
MWI_1997,0,10698,5.77964796334671,4.099685532667315,1.7051718957020408,0.8618145272660609,0.4071748246808195,1.9877485900513863,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
MWI_1997,1,10697,3.986731240664127,4.082271031275934,1.7052263751518597,0.8663548579937761,0.4097283942520902,1.98688412985084,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
MWI_1997,2,10696,3.799700574061537,4.075660773338828,1.7052461719254404,0.868091957419188,0.4107078732466911,1.9865489595950776,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
MWI_1997,5,10693,3.7057367104534418,4.02673171229758,1.7054997616563057,0.8811446774244559,0.418203942027535,1.9837851509236817,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
MWI_1997,10,10688,3.6562564057762446,3.973732414008546,1.7058295612638708,0.8957259784849145,0.4266937745312427,1.9805668551924336,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
MWI_1997,20,10678,3.5762947773375813,3.8552091485765043,1.706534282248457,0.930174634330248,0.44695089683530786,1.9730491808466946,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
