survey,removed_top_records,rank_largest_first,observed_welfare_ppp_day,sampling_weight,empirical_survival_full_sample,gb2_survival_at_observed_value,empirical_to_gb2_survival_ratio
MWI_1997,0,1,53435.87736543687,324.3661193847656,3.3555180275337714e-05,0.0,
MWI_1997,0,2,12186.407816487754,148.39999389648438,4.89069332805544e-05,2.947065490848261e-07,165.95129437207518
MWI_1997,0,3,543.6131314845201,151.02127075195312,6.452985337807917e-05,6.117817843768942e-05,1.054785464784694
MWI_1997,0,4,442.96033824619815,1827.4312744140625,0.0002535748312261386,8.610690530244776e-05,2.9448838085106543
MWI_1997,0,5,321.8871781529243,75.51063537597656,0.000261386291274901,0.0001467248190087413,1.781472916721258
MWI_1997,0,6,193.3749775515859,261.0616149902344,0.0002883927171327662,0.0003434969119237285,0.8395787767571026
MWI_1997,0,7,169.10528874213057,1305.30810546875,0.00042342484957908904,0.0004296821994632895,0.9854372606265365
MWI_1997,0,8,156.52938647891995,196.6864471435547,0.0004437717625185039,0.0004888446608715464,0.9077970939220582
MWI_1997,0,9,155.75599114333724,983.4322509765625,0.0005455063287940765,0.0004929032929736903,1.106720804202852
MWI_1997,0,10,130.23776649885605,261.0616149902344,0.0005725127546519416,0.0006644747907510309,0.8616019187196732
MWI_1997,0,11,127.79021830214,786.7457885742188,0.0006539004064096009,0.0006858550261150489,0.9534090755498994
MWI_1997,0,12,111.80127163042012,1044.2464599609375,0.0007619261098410617,0.0008573062396784897,0.8887443886175402
MWI_1997,0,13,111.46021960134956,786.7457885742188,0.000843313761598721,0.0008616896536302079,0.9786745820214143
MWI_1997,0,14,100.88785347145638,983.4322509765625,0.0009450483278742936,0.0010176522143046161,0.9286555019389071
MWI_1997,0,15,98.25054520051549,590.059326171875,0.0010060890651140395,0.0010636597692987434,0.9458748879609694
MWI_1997,0,16,95.27155034574889,196.6864471435547,0.0010264359780534544,0.0011197576056982427,0.9166590812423229
MWI_1997,0,17,93.43759544544238,196.6864471435547,0.0010467828909928691,0.0011566859300259126,0.9049845457784885
MWI_1997,0,18,90.46960659037353,1180.11865234375,0.0011688643654723613,0.0012207230058875398,0.9575180936501856
MWI_1997,0,19,89.02839877985751,1180.11865234375,0.0012909458399518532,0.0012538886777554129,1.0295537896257079
MWI_1997,0,20,86.16439934794174,1044.2464599609375,0.001398971543383314,0.0013242318931656909,1.0564400016366857
MWI_1997,0,21,85.8237985578082,522.1232299804688,0.0014529843950990445,0.0013330162404526918,1.0899975191642162
MWI_1997,0,22,83.3261487378685,783.184814453125,0.0015340036695156432,0.0014003817484069282,1.0954182109704893
MWI_1997,0,23,81.50722573465076,1180.11865234375,0.0016560851439951351,0.0014529374017449713,1.1398186473871375
MWI_1997,0,24,80.94520763861853,393.3728942871094,0.0016967789698739647,0.0014698163202331305,1.1544156548791316
MWI_1997,0,25,80.73622055531249,1044.2464599609375,0.0018048046733054254,0.001476172869679444,1.222624199628696
MWI_1997,0,26,80.4716253236297,522.1232299804688,0.001858817525021156,0.001484284073404093,1.2523327295145725
MWI_1997,0,27,77.3600367274693,522.1232299804688,0.0019128303767368862,0.0015852780232693193,1.2066213930046514
MWI_1997,0,28,76.76628384307095,1305.30810546875,0.002047862509183209,0.0016057987975682108,1.2752920928104137
MWI_1997,0,29,74.62540185830444,1180.11865234375,0.0021699439836627013,0.001683435153912902,1.2889976656475184
MWI_1997,0,30,73.92847742132629,983.4322509765625,0.002271678549938274,0.0017100098438270943,1.3284593408270298
MWI_1997,1,1,53435.87736543687,324.3661193847656,3.3555180275337714e-05,0.0,
MWI_1997,1,2,12186.407816487754,148.39999389648438,4.89069332805544e-05,3.5732056003727786e-07,136.8713103870993
MWI_1997,1,3,543.6131314845201,151.02127075195312,6.452985337807917e-05,6.016481305296295e-05,1.0725513818396424
MWI_1997,1,4,442.96033824619815,1827.4312744140625,0.0002535748312261386,8.473850647030818e-05,2.9924392320389734
MWI_1997,1,5,321.8871781529243,75.51063537597656,0.000261386291274901,0.0001445468078222168,1.8083159027378122
MWI_1997,1,6,193.3749775515859,261.0616149902344,0.0002883927171327662,0.0003389733271823787,0.8507829200897613
MWI_1997,1,7,169.10528874213057,1305.30810546875,0.00042342484957908904,0.0004242132335507889,0.998141538477947
